,target,ert,fid,dim,algorithm
0,2.0,1.0,1,2,VBS
1,1.8,1.0,1,2,VBS
2,1.6,1.0,1,2,VBS
3,1.4,1.0,1,2,VBS
4,1.2,2.0,1,2,VBS
5,1.0,4.0,1,2,VBS
6,0.7999999999999998,5.0,1,2,VBS
7,0.5999999999999999,5.0,1,2,VBS
8,0.3999999999999999,5.0,1,2,VBS
9,0.19999999999999998,6.0,1,2,VBS
10,0.0,6.0,1,2,VBS
11,-0.20000000000000015,6.0,1,2,VBS
12,-0.40000000000000036,6.0,1,2,VBS
13,-0.6000000000000001,6.0,1,2,VBS
14,-0.8000000000000003,6.0,1,2,VBS
15,-1.0,6.0,1,2,VBS
16,-1.2000000000000002,6.0,1,2,VBS
17,-1.4000000000000004,6.0,1,2,VBS
18,-1.6,6.0,1,2,VBS
19,-1.8000000000000003,6.0,1,2,VBS
20,-2.0,6.0,1,2,VBS
21,-2.2,6.0,1,2,VBS
22,-2.4000000000000004,6.0,1,2,VBS
23,-2.6000000000000005,6.0,1,2,VBS
24,-2.8000000000000007,6.0,1,2,VBS
25,-3.0,6.0,1,2,VBS
26,-3.2,6.0,1,2,VBS
27,-3.4000000000000004,6.0,1,2,VBS
28,-3.6000000000000005,6.0,1,2,VBS
29,-3.8000000000000007,6.0,1,2,VBS
30,-4.0,6.0,1,2,VBS
31,-4.2,6.0,1,2,VBS
32,-4.4,6.0,1,2,VBS
33,-4.6000000000000005,6.0,1,2,VBS
34,-4.800000000000001,6.0,1,2,VBS
35,-5.0,6.0,1,2,VBS
36,-5.2,6.0,1,2,VBS
37,-5.4,6.0,1,2,VBS
38,-5.6000000000000005,6.0,1,2,VBS
39,-5.800000000000001,6.0,1,2,VBS
40,-6.0,6.0,1,2,VBS
41,-6.200000000000001,6.0,1,2,VBS
42,-6.4,6.0,1,2,VBS
43,-6.6,6.0,1,2,VBS
44,-6.800000000000001,6.0,1,2,VBS
45,-7.0,6.0,1,2,VBS
46,-7.200000000000001,6.0,1,2,VBS
47,-7.4,6.0,1,2,VBS
48,-7.600000000000001,6.0,1,2,VBS
49,-7.800000000000001,6.0,1,2,VBS
50,-8.0,6.0,1,2,VBS
0,2.0,1.0,1,2,GRS
1,1.8,1.0,1,2,GRS
2,1.6,1.0,1,2,GRS
3,1.4,1.3333333333333333,1,2,GRS
4,1.2,2.3333333333333335,1,2,GRS
5,1.0,4.333333333333333,1,2,GRS
