log10_target,solved,evaluations,fid,iid,rep,dim,param_id
2.0,True,1,9,101,1,5,Powell
1.8,True,1,9,101,1,5,Powell
1.6,True,1,9,101,1,5,Powell
1.4,True,17,9,101,1,5,Powell
1.2,True,27,9,101,1,5,Powell
1.0,True,38,9,101,1,5,Powell
0.8,True,53,9,101,1,5,Powell
0.6,True,53,9,101,1,5,Powell
0.4,True,58,9,101,1,5,Powell
0.2,True,59,9,101,1,5,Powell
0.0,True,77,9,101,1,5,Powell
-0.2,True,88,9,101,1,5,Powell
-0.4,True,88,9,101,1,5,Powell
-0.6,True,119,9,101,1,5,Powell
-0.8,False,216,9,101,1,5,Powell
-1.0,False,216,9,101,1,5,Powell
-1.2,False,216,9,101,1,5,Powell
-1.4,False,216,9,101,1,5,Powell
-1.6,False,216,9,101,1,5,Powell
-1.8,False,216,9,101,1,5,Powell
-2.0,False,216,9,101,1,5,Powell
-2.2,False,216,9,101,1,5,Powell
-2.4,False,216,9,101,1,5,Powell
-2.6,False,216,9,101,1,5,Powell
-2.8,False,216,9,101,1,5,Powell
-3.0,False,216,9,101,1,5,Powell
-3.2,False,216,9,101,1,5,Powell
-3.4,False,216,9,101,1,5,Powell
-3.6,False,216,9,101,1,5,Powell
-3.8,False,216,9,101,1,5,Powell
-4.0,False,216,9,101,1,5,Powell
-4.2,False,216,9,101,1,5,Powell
-4.4,False,216,9,101,1,5,Powell
-4.6,False,216,9,101,1,5,Powell
-4.8,False,216,9,101,1,5,Powell
-5.0,False,216,9,101,1,5,Powell
-5.2,False,216,9,101,1,5,Powell
-5.4,False,216,9,101,1,5,Powell
-5.6,False,216,9,101,1,5,Powell
-5.8,False,216,9,101,1,5,Powell
-6.0,False,216,9,101,1,5,Powell
-6.2,False,216,9,101,1,5,Powell
-6.4,False,216,9,101,1,5,Powell
-6.6,False,216,9,101,1,5,Powell
-6.8,False,216,9,101,1,5,Powell
-7.0,False,216,9,101,1,5,Powell
-7.2,False,216,9,101,1,5,Powell
-7.4,False,216,9,101,1,5,Powell
-7.6,False,216,9,101,1,5,Powell
-7.8,False,216,9,101,1,5,Powell
-8.0,False,216,9,101,1,5,Powell
2.0,True,1,9,102,1,5,Powell
1.8,True,1,9,102,1,5,Powell
1.6,True,1,9,102,1,5,Powell
1.4,True,17,9,102,1,5,Powell
1.2,True,37,9,102,1,5,Powell
1.0,True,37,9,102,1,5,Powell
0.8,True,58,9,102,1,5,Powell
0.6,True,68,9,102,1,5,Powell
0.4,True,109,9,102,1,5,Powell
0.2,True,159,9,102,1,5,Powell
0.0,False,210,9,102,1,5,Powell
-0.2,False,210,9,102,1,5,Powell
-0.4,False,210,9,102,1,5,Powell
-0.6,False,210,9,102,1,5,Powell
-0.8,False,210,9,102,1,5,Powell
-1.0,False,210,9,102,1,5,Powell
-1.2,False,210,9,102,1,5,Powell
-1.4,False,210,9,102,1,5,Powell
-1.6,False,210,9,102,1,5,Powell
-1.8,False,210,9,102,1,5,Powell
-2.0,False,210,9,102,1,5,Powell
-2.2,False,210,9,102,1,5,Powell
-2.4,False,210,9,102,1,5,Powell
-2.6,False,210,9,102,1,5,Powell
-2.8,False,210,9,102,1,5,Powell
-3.0,False,210,9,102,1,5,Powell
-3.2,False,210,9,102,1,5,Powell
-3.4,False,210,9,102,1,5,Powell
-3.6,False,210,9,102,1,5,Powell
-3.8,False,210,9,102,1,5,Powell
-4.0,False,210,9,102,1,5,Powell
-4.2,False,210,9,102,1,5,Powell
-4.4,False,210,9,102,1,5,Powell
-4.6,False,210,9,102,1,5,Powell
-4.8,False,210,9,102,1,5,Powell
-5.0,False,210,9,102,1,5,Powell
-5.2,False,210,9,102,1,5,Powell
-5.4,False,210,9,102,1,5,Powell
-5.6,False,210,9,102,1,5,Powell
-5.8,False,210,9,102,1,5,Powell
-6.0,False,210,9,102,1,5,Powell
-6.2,False,210,9,102,1,5,Powell
-6.4,False,210,9,102,1,5,Powell
-6.6,False,210,9,102,1,5,Powell
-6.8,False,210,9,102,1,5,Powell
-7.0,False,210,9,102,1,5,Powell
-7.2,False,210,9,102,1,5,Powell
-7.4,False,210,9,102,1,5,Powell
-7.6,False,210,9,102,1,5,Powell
-7.8,False,210,9,102,1,5,Powell
-8.0,False,210,9,102,1,5,Powell
2.0,True,1,9,103,1,5,Powell
1.8,True,1,9,103,1,5,Powell
1.6,True,1,9,103,1,5,Powell
1.4,True,27,9,103,1,5,Powell
1.2,True,46,9,103,1,5,Powell
1.0,True,46,9,103,1,5,Powell
0.8,True,48,9,103,1,5,Powell
0.6,True,59,9,103,1,5,Powell
0.4,True,79,9,103,1,5,Powell
0.2,True,80,9,103,1,5,Powell
0.0,True,205,9,103,1,5,Powell
-0.2,True,315,9,103,1,5,Powell
-0.4,True,383,9,103,1,5,Powell
-0.6,True,433,9,103,1,5,Powell
-0.8,True,492,9,103,1,5,Powell
-1.0,True,554,9,103,1,5,Powell
-1.2,True,598,9,103,1,5,Powell
-1.4,True,614,9,103,1,5,Powell
-1.6,True,705,9,103,1,5,Powell
-1.8,True,712,9,103,1,5,Powell
-2.0,True,713,9,103,1,5,Powell
-2.2,True,766,9,103,1,5,Powell
-2.4,False,770,9,103,1,5,Powell
-2.6,False,770,9,103,1,5,Powell
