log10_target,solved,evaluations,fid,iid,rep,dim,param_id
2.0,True,554,2,101,1,5,default
1.8,True,792,2,101,1,5,default
1.6,True,817,2,101,1,5,default
1.4,True,831,2,101,1,5,default
1.2,True,840,2,101,1,5,default
1.0,True,843,2,101,1,5,default
0.8,True,843,2,101,1,5,default
0.6,True,865,2,101,1,5,default
0.4,True,1007,2,101,1,5,default
0.2,True,1233,2,101,1,5,default
0.0,True,1386,2,101,1,5,default
-0.2,True,1473,2,101,1,5,default
-0.4,True,1722,2,101,1,5,default
-0.6,True,1751,2,101,1,5,default
-0.8,True,1769,2,101,1,5,default
-1.0,True,1777,2,101,1,5,default
-1.2,True,1778,2,101,1,5,default
-1.4,True,1778,2,101,1,5,default
-1.6,True,1825,2,101,1,5,default
-1.8,True,1826,2,101,1,5,default
-2.0,True,1876,2,101,1,5,default
-2.2,True,1891,2,101,1,5,default
-2.4,True,1891,2,101,1,5,default
-2.6,True,1891,2,101,1,5,default
-2.8,True,1910,2,101,1,5,default
-3.0,True,1944,2,101,1,5,default
-3.2,True,1964,2,101,1,5,default
-3.4,True,1992,2,101,1,5,default
-3.6,True,1992,2,101,1,5,default
-3.8,True,1992,2,101,1,5,default
-4.0,True,1992,2,101,1,5,default
-4.2,True,2031,2,101,1,5,default
-4.4,True,2031,2,101,1,5,default
-4.6,True,2049,2,101,1,5,default
-4.8,True,2049,2,101,1,5,default
-5.0,True,2049,2,101,1,5,default
-5.2,True,2049,2,101,1,5,default
-5.4,True,2150,2,101,1,5,default
-5.6,True,2158,2,101,1,5,default
-5.8,True,2200,2,101,1,5,default
-6.0,True,2200,2,101,1,5,default
-6.2,True,2217,2,101,1,5,default
-6.4,True,2217,2,101,1,5,default
-6.6,True,2217,2,101,1,5,default
-6.8,True,2217,2,101,1,5,default
-7.0,True,2236,2,101,1,5,default
-7.2,True,2270,2,101,1,5,default
-7.4,True,2270,2,101,1,5,default
-7.6,True,2270,2,101,1,5,default
-7.8,True,2270,2,101,1,5,default
-8.0,True,2317,2,101,1,5,default
2.0,True,1042,2,102,1,5,default
1.8,True,1042,2,102,1,5,default
1.6,True,1079,2,102,1,5,default
1.4,True,1079,2,102,1,5,default
1.2,True,1117,2,102,1,5,default
1.0,True,1154,2,102,1,5,default
0.8,True,1233,2,102,1,5,default
0.6,True,1651,2,102,1,5,default
0.4,True,1697,2,102,1,5,default
0.2,True,1702,2,102,1,5,default
0.0,True,1734,2,102,1,5,default
-0.2,True,1752,2,102,1,5,default
-0.4,True,1762,2,102,1,5,default
-0.6,True,1762,2,102,1,5,default
-0.8,True,1762,2,102,1,5,default
-1.0,True,1836,2,102,1,5,default
-1.2,True,1843,2,102,1,5,default
-1.4,True,1852,2,102,1,5,default
-1.6,True,1852,2,102,1,5,default
-1.8,True,1880,2,102,1,5,default
-2.0,True,1880,2,102,1,5,default
-2.2,True,1880,2,102,1,5,default
-2.4,True,1945,2,102,1,5,default
-2.6,True,1959,2,102,1,5,default
-2.8,True,1959,2,102,1,5,default
-3.0,True,1959,2,102,1,5,default
-3.2,True,1978,2,102,1,5,default
-3.4,True,1978,2,102,1,5,default
-3.6,True,1999,2,102,1,5,default
-3.8,True,2058,2,102,1,5,default
-4.0,True,2081,2,102,1,5,default
-4.2,True,2142,2,102,1,5,default
-4.4,True,2142,2,102,1,5,default
-4.6,True,2142,2,102,1,5,default
-4.8,True,2180,2,102,1,5,default
-5.0,True,2194,2,102,1,5,default
-5.2,True,2217,2,102,1,5,default
-5.4,True,2217,2,102,1,5,default
-5.6,True,2241,2,102,1,5,default
-5.8,True,2245,2,102,1,5,default
-6.0,True,2283,2,102,1,5,default
-6.2,True,2283,2,102,1,5,default
-6.4,True,2296,2,102,1,5,default
-6.6,True,2296,2,102,1,5,default
-6.8,True,2296,2,102,1,5,default
-7.0,True,2371,2,102,1,5,default
-7.2,True,2390,2,102,1,5,default
-7.4,True,2390,2,102,1,5,default
-7.6,True,2390,2,102,1,5,default
-7.8,True,2427,2,102,1,5,default
-8.0,True,2427,2,102,1,5,default
2.0,True,953,2,103,1,5,default
1.8,True,1276,2,103,1,5,default
1.6,True,1300,2,103,1,5,default
1.4,True,1311,2,103,1,5,default
1.2,True,1390,2,103,1,5,default
1.0,True,1398,2,103,1,5,default
0.8,True,1432,2,103,1,5,default
0.6,True,1445,2,103,1,5,default
0.4,True,1445,2,103,1,5,default
0.2,True,1468,2,103,1,5,default
0.0,True,1506,2,103,1,5,default
-0.2,True,1519,2,103,1,5,default
-0.4,True,1519,2,103,1,5,default
-0.6,True,1543,2,103,1,5,default
-0.8,True,1568,2,103,1,5,default
-1.0,True,1580,2,103,1,5,default
-1.2,True,1600,2,103,1,5,default
-1.4,True,1616,2,103,1,5,default
-1.6,True,1616,2,103,1,5,default
-1.8,True,1616,2,103,1,5,default
-2.0,True,1616,2,103,1,5,default
-2.2,True,1713,2,103,1,5,default
-2.4,True,1734,2,103,1,5,default
-2.6,True,1740,2,103,1,5,default
-2.8,True,1740,2,103,1,5,default
-3.0,True,1796,2,103,1,5,default
-3.2,True,1796,2,103,1,5,default
-3.4,True,1819,2,103,1,5,default
-3.6,True,1840,2,103,1,5,default
-3.8,True,1846,2,103,1,5,default
-4.0,True,1860,2,103,1,5,default
-4.2,True,1882,2,103,1,5,default
-4.4,True,1899,2,103,1,5,default
-4.6,True,1899,2,103,1,5,default
-4.8,True,1916,2,103,1,5,default
-5.0,True,1923,2,103,1,5,default
-5.2,True,1974,2,103,1,5,default
-5.4,True,1974,2,103,1,5,default
-5.6,True,2018,2,103,1,5,default
-5.8,True,2026,2,103,1,5,default
-6.0,True,2033,2,103,1,5,default
-6.2,True,2047,2,103,1,5,default
-6.4,True,2058,2,103,1,5,default
-6.6,True,2058,2,103,1,5,default
-6.8,True,2122,2,103,1,5,default
-7.0,True,2122,2,103,1,5,default
-7.2,True,2145,2,103,1,5,default
-7.4,True,2155,2,103,1,5,default
-7.6,True,2188,2,103,1,5,default
-7.8,True,2197,2,103,1,5,default
-8.0,True,2203,2,103,1,5,default
2.0,True,780,2,104,1,5,default
1.8,True,784,2,104,1,5,default
1.6,True,788,2,104,1,5,default
1.4,True,840,2,104,1,5,default
1.2,True,878,2,104,1,5,default
1.0,True,1003,2,104,1,5,default
0.8,True,1140,2,104,1,5,default
0.6,True,1237,2,104,1,5,default
0.4,True,1253,2,104,1,5,default
0.2,True,1271,2,104,1,5,default
0.0,True,1312,2,104,1,5,default
-0.2,True,1312,2,104,1,5,default
-0.4,True,1325,2,104,1,5,default
-0.6,True,1349,2,104,1,5,default
-0.8,True,1349,2,104,1,5,default
-1.0,True,1367,2,104,1,5,default
-1.2,True,1374,2,104,1,5,default
-1.4,True,1424,2,104,1,5,default
-1.6,True,1424,2,104,1,5,default
-1.8,True,1462,2,104,1,5,default
-2.0,True,1462,2,104,1,5,default
-2.2,True,1481,2,104,1,5,default
-2.4,True,1487,2,104,1,5,default
-2.6,True,1487,2,104,1,5,default
-2.8,True,1554,2,104,1,5,default
-3.0,True,1554,2,104,1,5,default
-3.2,True,1578,2,104,1,5,default
-3.4,True,1595,2,104,1,5,default
-3.6,True,1601,2,104,1,5,default
-3.8,True,1601,2,104,1,5,default
-4.0,True,1608,2,104,1,5,default
-4.2,True,1654,2,104,1,5,default
-4.4,True,1665,2,104,1,5,default
-4.6,True,1686,2,104,1,5,default
-4.8,True,1688,2,104,1,5,default
-5.0,True,1688,2,104,1,5,default
-5.2,True,1758,2,104,1,5,default
-5.4,True,1761,2,104,1,5,default
-5.6,True,1764,2,104,1,5,default
-5.8,True,1794,2,104,1,5,default
-6.0,True,1794,2,104,1,5,default
-6.2,True,1794,2,104,1,5,default
-6.4,True,1794,2,104,1,5,default
-6.6,True,1849,2,104,1,5,default
-6.8,True,1849,2,104,1,5,default
-7.0,True,1893,2,104,1,5,default
-7.2,True,1926,2,104,1,5,default
-7.4,True,1942,2,104,1,5,default
-7.6,True,1950,2,104,1,5,default
-7.8,True,1996,2,104,1,5,default
-8.0,True,1996,2,104,1,5,default
2.0,True,1031,2,105,1,5,default
1.8,True,1121,2,105,1,5,default
1.6,True,1195,2,105,1,5,default
1.4,True,1358,2,105,1,5,default
1.2,True,1422,2,105,1,5,default
1.0,True,1436,2,105,1,5,default
0.8,True,1436,2,105,1,5,default
0.6,True,1449,2,105,1,5,default
0.4,True,1449,2,105,1,5,default
0.2,True,1449,2,105,1,5,default
0.0,True,1449,2,105,1,5,default
-0.2,True,1562,2,105,1,5,default
-0.4,True,1570,2,105,1,5,default
-0.6,True,1594,2,105,1,5,default
-0.8,True,1611,2,105,1,5,default
-1.0,True,1611,2,105,1,5,default
-1.2,True,1611,2,105,1,5,default
-1.4,True,1632,2,105,1,5,default
-1.6,True,1684,2,105,1,5,default
