log10_target,solved,evaluations,fid,iid,rep,dim,param_id
2.0,True,1,19,101,1,2,16L
1.8,True,1,19,101,1,2,16L
1.6,True,1,19,101,1,2,16L
1.4,True,6,19,101,1,2,16L
1.2,True,6,19,101,1,2,16L
1.0,True,17,19,101,1,2,16L
0.8,True,17,19,101,1,2,16L
0.6,True,17,19,101,1,2,16L
0.4,True,17,19,101,1,2,16L
0.2,True,245,19,101,1,2,16L
0.0,True,245,19,101,1,2,16L
-0.2,True,298,19,101,1,2,16L
-0.4,True,298,19,101,1,2,16L
-0.6,True,298,19,101,1,2,16L
-0.8,True,298,19,101,1,2,16L
-1.0,True,298,19,101,1,2,16L
-1.2,True,336,19,101,1,2,16L
-1.4,True,464,19,101,1,2,16L
-1.6,True,534,19,101,1,2,16L
-1.8,True,1291,19,101,1,2,16L
-2.0,True,1291,19,101,1,2,16L
-2.2,True,1735,19,101,1,2,16L
-2.4,True,1735,19,101,1,2,16L
-2.6,True,1735,19,101,1,2,16L
-2.8,True,1735,19,101,1,2,16L
-3.0,True,1996,19,101,1,2,16L
-3.2,True,1996,19,101,1,2,16L
-3.4,True,2310,19,101,1,2,16L
-3.6,True,2310,19,101,1,2,16L
-3.8,True,2310,19,101,1,2,16L
-4.0,True,2310,19,101,1,2,16L
-4.2,True,2310,19,101,1,2,16L
-4.4,True,2310,19,101,1,2,16L
-4.6,True,2310,19,101,1,2,16L
-4.8,True,2310,19,101,1,2,16L
-5.0,True,2310,19,101,1,2,16L
-5.2,True,2310,19,101,1,2,16L
-5.4,True,2310,19,101,1,2,16L
-5.6,True,2310,19,101,1,2,16L
-5.8,True,3100,19,101,1,2,16L
-6.0,True,3100,19,101,1,2,16L
-6.2,True,3100,19,101,1,2,16L
-6.4,True,3100,19,101,1,2,16L
-6.6,True,3100,19,101,1,2,16L
-6.8,True,3337,19,101,1,2,16L
-7.0,True,3339,19,101,1,2,16L
-7.2,True,3380,19,101,1,2,16L
-7.4,True,3497,19,101,1,2,16L
-7.6,True,3508,19,101,1,2,16L
-7.8,True,3508,19,101,1,2,16L
-8.0,True,3508,19,101,1,2,16L
2.0,True,1,19,102,1,2,16L
1.8,True,1,19,102,1,2,16L
1.6,True,1,19,102,1,2,16L
1.4,True,1,19,102,1,2,16L
1.2,True,1,19,102,1,2,16L
1.0,True,2,19,102,1,2,16L
0.8,True,28,19,102,1,2,16L
