log10_target,solved,evaluations,fid,iid,rep,dim,param_id
2.0,True,10,20,101,1,2,default
1.8,True,10,20,101,1,2,default
1.6,True,10,20,101,1,2,default
1.4,True,10,20,101,1,2,default
1.2,True,10,20,101,1,2,default
1.0,True,10,20,101,1,2,default
0.8,True,10,20,101,1,2,default
0.6,True,15,20,101,1,2,default
0.4,True,15,20,101,1,2,default
0.2,True,40,20,101,1,2,default
0.0,True,40,20,101,1,2,default
-0.2,False,612,20,101,1,2,default
-0.4,False,612,20,101,1,2,default
-0.6,False,612,20,101,1,2,default
-0.8,False,612,20,101,1,2,default
-1.0,False,612,20,101,1,2,default
-1.2,False,612,20,101,1,2,default
-1.4,False,612,20,101,1,2,default
-1.6,False,612,20,101,1,2,default
-1.8,False,612,20,101,1,2,default
-2.0,False,612,20,101,1,2,default
-2.2,False,612,20,101,1,2,default
-2.4,False,612,20,101,1,2,default
-2.6,False,612,20,101,1,2,default
-2.8,False,612,20,101,1,2,default
-3.0,False,612,20,101,1,2,default
-3.2,False,612,20,101,1,2,default
-3.4,False,612,20,101,1,2,default
-3.6,False,612,20,101,1,2,default
-3.8,False,612,20,101,1,2,default
-4.0,False,612,20,101,1,2,default
-4.2,False,612,20,101,1,2,default
-4.4,False,612,20,101,1,2,default
-4.6,False,612,20,101,1,2,default
-4.8,False,612,20,101,1,2,default
-5.0,False,612,20,101,1,2,default
-5.2,False,612,20,101,1,2,default
-5.4,False,612,20,101,1,2,default
-5.6,False,612,20,101,1,2,default
-5.8,False,612,20,101,1,2,default
-6.0,False,612,20,101,1,2,default
-6.2,False,612,20,101,1,2,default
-6.4,False,612,20,101,1,2,default
-6.6,False,612,20,101,1,2,default
-6.8,False,612,20,101,1,2,default
-7.0,False,612,20,101,1,2,default
-7.2,False,612,20,101,1,2,default
-7.4,False,612,20,101,1,2,default
-7.6,False,612,20,101,1,2,default
-7.8,False,612,20,101,1,2,default
-8.0,False,612,20,101,1,2,default
2.0,True,1,20,102,1,2,default
1.8,True,1,20,102,1,2,default
1.6,True,1,20,102,1,2,default
1.4,True,1,20,102,1,2,default
1.2,True,1,20,102,1,2,default
1.0,True,1,20,102,1,2,default
0.8,True,1,20,102,1,2,default
0.6,True,14,20,102,1,2,default
0.4,True,34,20,102,1,2,default
0.2,True,59,20,102,1,2,default
0.0,False,552,20,102,1,2,default
-0.2,False,552,20,102,1,2,default
-0.4,False,552,20,102,1,2,default
-0.6,False,552,20,102,1,2,default
-0.8,False,552,20,102,1,2,default
-1.0,False,552,20,102,1,2,default
-1.2,False,552,20,102,1,2,default
-1.4,False,552,20,102,1,2,default
-1.6,False,552,20,102,1,2,default
-1.8,False,552,20,102,1,2,default
-2.0,False,552,20,102,1,2,default
-2.2,False,552,20,102,1,2,default
-2.4,False,552,20,102,1,2,default
-2.6,False,552,20,102,1,2,default
-2.8,False,552,20,102,1,2,default
-3.0,False,552,20,102,1,2,default
-3.2,False,552,20,102,1,2,default
-3.4,False,552,20,102,1,2,default
-3.6,False,552,20,102,1,2,default
-3.8,False,552,20,102,1,2,default
-4.0,False,552,20,102,1,2,default
-4.2,False,552,20,102,1,2,default
-4.4,False,552,20,102,1,2,default
-4.6,False,552,20,102,1,2,default
-4.8,False,552,20,102,1,2,default
-5.0,False,552,20,102,1,2,default
-5.2,False,552,20,102,1,2,default
-5.4,False,552,20,102,1,2,default
-5.6,False,552,20,102,1,2,default
-5.8,False,552,20,102,1,2,default
-6.0,False,552,20,102,1,2,default
-6.2,False,552,20,102,1,2,default
-6.4,False,552,20,102,1,2,default
-6.6,False,552,20,102,1,2,default
-6.8,False,552,20,102,1,2,default
-7.0,False,552,20,102,1,2,default
-7.2,False,552,20,102,1,2,default
-7.4,False,552,20,102,1,2,default
-7.6,False,552,20,102,1,2,default
-7.8,False,552,20,102,1,2,default
-8.0,False,552,20,102,1,2,default
2.0,True,15,20,103,1,2,default
1.8,True,15,20,103,1,2,default
1.6,True,15,20,103,1,2,default
1.4,True,15,20,103,1,2,default
1.2,True,15,20,103,1,2,default
1.0,True,15,20,103,1,2,default
0.8,True,15,20,103,1,2,default
0.6,True,35,20,103,1,2,default
0.4,True,71,20,103,1,2,default
0.2,True,83,20,103,1,2,default
0.0,True,83,20,103,1,2,default
-0.2,False,570,20,103,1,2,default
-0.4,False,570,20,103,1,2,default
-0.6,False,570,20,103,1,2,default
-0.8,False,570,20,103,1,2,default
-1.0,False,570,20,103,1,2,default
-1.2,False,570,20,103,1,2,default
-1.4,False,570,20,103,1,2,default
-1.6,False,570,20,103,1,2,default
-1.8,False,570,20,103,1,2,default
-2.0,False,570,20,103,1,2,default
-2.2,False,570,20,103,1,2,default
-2.4,False,570,20,103,1,2,default
-2.6,False,570,20,103,1,2,default
-2.8,False,570,20,103,1,2,default
