problem_id,16L,2L,32L,4L,64L,8L,L-BFGS-B,Powell,SLSQP,default
f01-d05-t-0.2,721.682,204.752,1131.734,333.97,2164.552,506.622,12.988,36.084,8.0,131.718
f01-d05-t-0.4,797.426,228.14,1254.724,371.162,2399.138,556.596,13.0,36.594,8.0,147.478
f01-d05-t-0.6,868.102,249.786,1368.464,405.888,2635.066,613.904,13.0,37.004,8.0,161.542
f01-d05-t-0.8,945.186,272.362,1486.28,441.222,2878.576,673.23,13.0,37.362,8.0,177.238
f01-d05-t-1.0,1022.506,293.418,1602.474,474.634,3076.634,729.54,13.0,37.6,8.0,193.79
f01-d05-t-1.2,1099.33,317.998,1716.084,511.456,3301.812,786.146,13.0,37.832,8.0,210.84
f01-d05-t-1.4,1167.19,340.33,1832.722,545.218,3526.93,834.296,13.0,37.99,8.0,226.602
f01-d05-t-1.6,1243.364,360.182,1937.258,579.006,3743.034,886.962,13.0,38.246,8.0,241.956
f01-d05-t-1.8,1317.226,384.67,2058.45,616.132,3961.548,941.524,13.0,38.408,8.0,256.626
f01-d05-t-2.0,1389.964,406.812,2172.614,650.734,4177.614,997.056,13.0,38.598,8.0,273.17
f01-d05-t-2.2,1462.124,427.634,2284.566,687.034,4407.168,1052.76,13.0,38.678,8.0,288.0
f01-d05-t-2.4,1535.146,448.476,2393.28,721.858,4615.522,1107.206,13.0,38.772,8.0,303.728
f01-d05-t-2.6,1609.422,472.754,2505.182,753.282,4828.756,1161.638,13.0,38.838,8.0,320.416
f01-d05-t-2.8,1683.616,495.82,2623.596,791.49,5060.53,1210.512,13.0,38.9,8.0,336.814
f01-d05-t-3.0,1756.48,517.23,2733.386,827.984,5276.036,1265.62,13.0,38.94,8.0,352.342
f01-d05-t-3.2,1826.076,540.088,2843.288,864.234,5510.156,1320.606,13.0,38.99,8.0,368.06
f01-d05-t-3.4,1899.604,560.394,2963.01,900.558,5712.622,1382.282,13.0,39.026,8.0,383.33
f01-d05-t-3.6,1972.758,583.756,3080.964,933.788,5944.2,1438.862,13.0,39.064,8.0,399.256
