problem_id,16L,2L,32L,4L,64L,8L,L-BFGS-B,Powell,SLSQP,default
f01-d02-t-0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-1.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-1.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-1.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-2.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-2.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-2.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-3.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-3.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-4.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-4.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-4.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-4.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-5.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-5.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-5.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-5.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-6.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-6.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-6.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-6.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-7.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-7.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-7.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-7.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t-8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t1.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t1.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t1.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f01-d02-t2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f02-d02-t-0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.988,1.0,1.0,1.0
f02-d02-t-0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.966,1.0,1.0,1.0
f02-d02-t-0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.962,1.0,1.0,1.0
f02-d02-t-0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.958,1.0,1.0,1.0
f02-d02-t-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0
f02-d02-t-1.2,1.0,1.0,1.0,1.0,1.0,1.0,0.946,1.0,1.0,1.0
f02-d02-t-1.4,1.0,1.0,1.0,1.0,1.0,1.0,0.94,1.0,1.0,1.0
f02-d02-t-1.6,1.0,1.0,1.0,1.0,1.0,1.0,0.932,1.0,1.0,1.0
f02-d02-t-1.8,1.0,1.0,1.0,1.0,1.0,1.0,0.93,1.0,1.0,1.0
f02-d02-t-2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.924,1.0,1.0,1.0
f02-d02-t-2.2,1.0,1.0,1.0,1.0,1.0,1.0,0.914,1.0,1.0,1.0
f02-d02-t-2.4,1.0,1.0,1.0,1.0,1.0,1.0,0.91,1.0,1.0,1.0
f02-d02-t-2.6,1.0,1.0,1.0,1.0,1.0,1.0,0.906,1.0,1.0,1.0
f02-d02-t-2.8,1.0,1.0,1.0,1.0,1.0,1.0,0.904,1.0,1.0,1.0
f02-d02-t-3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.904,1.0,1.0,1.0
f02-d02-t-3.2,1.0,1.0,1.0,1.0,1.0,1.0,0.902,1.0,1.0,1.0
f02-d02-t-3.4,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
f02-d02-t-3.6,1.0,1.0,1.0,1.0,1.0,1.0,0.898,1.0,1.0,1.0
f02-d02-t-3.8,1.0,1.0,1.0,1.0,1.0,1.0,0.896,1.0,1.0,1.0
f02-d02-t-4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.894,1.0,1.0,1.0
f02-d02-t-4.2,1.0,1.0,1.0,1.0,1.0,1.0,0.894,1.0,1.0,1.0
f02-d02-t-4.4,1.0,1.0,1.0,1.0,1.0,1.0,0.894,1.0,1.0,1.0
f02-d02-t-4.6,1.0,1.0,1.0,1.0,1.0,1.0,0.894,1.0,0.998,1.0
f02-d02-t-4.8,1.0,1.0,1.0,1.0,1.0,1.0,0.892,1.0,0.992,1.0
f02-d02-t-5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.892,1.0,0.99,1.0
f02-d02-t-5.2,1.0,1.0,1.0,1.0,1.0,1.0,0.882,1.0,0.974,1.0
f02-d02-t-5.4,1.0,1.0,1.0,1.0,1.0,1.0,0.882,1.0,0.972,1.0
f02-d02-t-5.6,1.0,1.0,1.0,1.0,1.0,1.0,0.88,1.0,0.966,1.0
f02-d02-t-5.8,1.0,1.0,1.0,1.0,1.0,1.0,0.874,1.0,0.93,1.0
f02-d02-t-6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.868,0.998,0.912,1.0
f02-d02-t-6.2,1.0,1.0,1.0,1.0,1.0,1.0,0.86,0.998,0.84,1.0
f02-d02-t-6.4,1.0,1.0,1.0,1.0,1.0,1.0,0.854,0.998,0.718,1.0
f02-d02-t-6.6,1.0,1.0,1.0,1.0,1.0,1.0,0.84,0.998,0.638,1.0
f02-d02-t-6.8,1.0,1.0,1.0,1.0,1.0,1.0,0.82,0.998,0.514,1.0
f02-d02-t-7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.782,0.992,0.422,1.0
f02-d02-t-7.2,1.0,1.0,1.0,1.0,1.0,1.0,0.756,0.988,0.312,1.0
f02-d02-t-7.4,1.0,1.0,1.0,1.0,1.0,1.0,0.69,0.986,0.214,1.0
f02-d02-t-7.6,1.0,1.0,1.0,1.0,1.0,1.0,0.632,0.968,0.16,1.0
f02-d02-t-7.8,1.0,1.0,1.0,1.0,1.0,1.0,0.574,0.956,0.12,1.0
f02-d02-t-8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.514,0.93,0.092,1.0
f02-d02-t0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.988,1.0,1.0,1.0
f02-d02-t0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.988,1.0,1.0,1.0
f02-d02-t0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f02-d02-t0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f02-d02-t0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f02-d02-t1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f02-d02-t1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f02-d02-t1.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f02-d02-t1.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f02-d02-t1.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f02-d02-t2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f03-d02-t-0.2,0.914,0.362,0.988,0.62,1.0,0.754,0.01,0.198,0.012,0.208
f03-d02-t-0.4,0.88,0.33,0.982,0.572,1.0,0.706,0.01,0.198,0.012,0.188
f03-d02-t-0.6,0.842,0.304,0.966,0.536,1.0,0.672,0.01,0.198,0.012,0.184
f03-d02-t-0.8,0.822,0.28,0.954,0.508,1.0,0.634,0.01,0.198,0.012,0.174
f03-d02-t-1.0,0.8,0.268,0.946,0.496,1.0,0.616,0.01,0.198,0.012,0.164
f03-d02-t-1.2,0.78,0.264,0.922,0.482,0.998,0.602,0.01,0.198,0.012,0.158
f03-d02-t-1.4,0.766,0.26,0.91,0.468,0.996,0.6,0.01,0.198,0.012,0.154
f03-d02-t-1.6,0.756,0.258,0.904,0.458,0.996,0.598,0.01,0.198,0.012,0.154
f03-d02-t-1.8,0.756,0.256,0.902,0.458,0.996,0.598,0.01,0.198,0.012,0.154
f03-d02-t-2.0,0.75,0.254,0.9,0.454,0.992,0.596,0.01,0.198,0.012,0.154
f03-d02-t-2.2,0.748,0.252,0.894,0.452,0.992,0.594,0.01,0.198,0.012,0.154
f03-d02-t-2.4,0.744,0.252,0.888,0.452,0.986,0.592,0.01,0.198,0.012,0.154
f03-d02-t-2.6,0.742,0.252,0.886,0.45,0.986,0.59,0.01,0.198,0.012,0.154
f03-d02-t-2.8,0.742,0.252,0.884,0.45,0.986,0.588,0.01,0.198,0.012,0.154
f03-d02-t-3.0,0.742,0.252,0.884,0.45,0.986,0.586,0.01,0.198,0.012,0.154
f03-d02-t-3.2,0.74,0.252,0.884,0.45,0.986,0.586,0.01,0.198,0.012,0.154
f03-d02-t-3.4,0.74,0.252,0.884,0.45,0.986,0.586,0.01,0.198,0.012,0.154
f03-d02-t-3.6,0.74,0.252,0.884,0.45,0.984,0.586,0.01,0.198,0.012,0.154
f03-d02-t-3.8,0.74,0.252,0.884,0.45,0.984,0.586,0.01,0.198,0.012,0.154
f03-d02-t-4.0,0.74,0.252,0.884,0.45,0.984,0.586,0.01,0.198,0.012,0.154
f03-d02-t-4.2,0.74,0.252,0.884,0.45,0.982,0.586,0.01,0.198,0.012,0.154
f03-d02-t-4.4,0.74,0.252,0.884,0.45,0.982,0.586,0.01,0.198,0.012,0.154
f03-d02-t-4.6,0.74,0.252,0.884,0.45,0.982,0.586,0.01,0.196,0.012,0.154
f03-d02-t-4.8,0.74,0.252,0.884,0.45,0.982,0.586,0.01,0.194,0.012,0.154
f03-d02-t-5.0,0.74,0.252,0.884,0.45,0.982,0.586,0.01,0.194,0.012,0.154
f03-d02-t-5.2,0.74,0.252,0.884,0.45,0.982,0.586,0.01,0.192,0.012,0.154
f03-d02-t-5.4,0.74,0.252,0.884,0.45,0.982,0.586,0.01,0.192,0.012,0.154
f03-d02-t-5.6,0.74,0.252,0.884,0.45,0.982,0.586,0.01,0.192,0.012,0.154
f03-d02-t-5.8,0.74,0.252,0.884,0.45,0.982,0.586,0.01,0.188,0.012,0.154
f03-d02-t-6.0,0.74,0.252,0.884,0.45,0.982,0.586,0.01,0.188,0.008,0.154
f03-d02-t-6.2,0.74,0.252,0.884,0.45,0.982,0.586,0.01,0.186,0.006,0.154
